CCFR Level 5 Topics & Functions,,,
,,(53)传统与习俗 (Traditions and customs ),"lucky, soul, strange, unusual, special "
,,(54)文化差异 (Culture differences),"sort, trouble   "
功能（Functions）,14. 人际交往（Interpersonal communication）,(55)  问候（Greetings）,"envelope, hey, letter, mail, postcard, stamp  "
,,(56) 介绍（Introducing）,"excellent, fantastic, perfect, tell, to know(a person), wonderful "
,,(57) 告别（Farewares）,
,,(58) 请求和提供帮助（Asking and offering help),"available, help "
,,(59) 请求允许（Asking for permission）,"can1, ok(also okay), reason, shall, sure, would, yeah(also yeh), yes"
,,(60) 邀请（Inviting）,welcome
,,(61) 致歉（Apologising）,"pardon, sorry "
,,(62) 感谢（Giving thanks）,"thank, thank you "
,,(63) 劝告和建议（Giving advice and suggestions）,advice
,,(64) 警告与禁止（Warning and prohibition）,
,,(65) 接受与拒绝（Accepting and refusing）,
,,(66) 约会（Making appointments）,"appointment, meeting, to make an appointment  "
,,(67) 祝愿和祝贺（Expressing wishes and congratulations）,congratulations
